"","table_name_filled","column","ref_table","ref_column"
"1","activity_type","snomed_id","snomed","snomed_id"
"2","alternative_id_type","snomed_id","snomed","snomed_id"
"3","applicant_type","snomed_id","snomed","snomed_id"
"4","attempt_to_contact","snomed_id","snomed","snomed_id"
"5","bp_site","stcodes_all_codes_id","stcodes_all_codes","stcodes_all_codes_id"
"6","bp_site","snomed_id","snomed","snomed_id"
"7","bp_site","loinc_id","loinc","loinc_id"
"8","client_participation_response","snomed_id","snomed","snomed_id"
"9","closing_reasons","stcodes_all_codes_id","stcodes_all_codes","stcodes_all_codes_id"
"10","closing_reasons","snomed_id","snomed","snomed_id"
"11","closing_reasons","pce_csi_patient_status_code","pce_dictionary_code","pce_dictionary_code_id"
"12","co_occuring_disorder_code","snomed_id","snomed","snomed_id"
"13","county_geocode_link","county_id","county","county_id"
"14","cue_type","snomed_id","snomed","snomed_id"
"15","encounter_with","snomed_id","snomed","snomed_id"
"16","enrollment_transfer_type","snomed_id","snomed","snomed_id"
"17","evidence_based_practice","snomed_id","snomed","snomed_id"
"18","facil_pref","snomed_id","snomed","snomed_id"
"19","facil_pref","foster_preference_mapping_id","foster_preference_mapping","foster_preference_mapping_id"
"20","legal_petitions","snomed_id","snomed","snomed_id"
"21","level_of_care_change_criteria","snomed_id","snomed","snomed_id"
"22","location","snomed_id","snomed","snomed_id"
"23","opening_reasons","snomed_id","snomed","snomed_id"
"24","outcome","snomed_id","snomed","snomed_id"
"25","outcome","ppg_id","PPG","PPG_id"
"26","outcome","pce_csi_patient_status_code","pce_dictionary_code","pce_dictionary_code_id"
"27","outcome","stcodes_all_codes_id","stcodes_all_codes","stcodes_all_codes_id"
"28","participant_role","participant_type_id","participant_type","participant_type_id"
"29","participant_role","snomed_id","snomed","snomed_id"
"30","payroll_rate_code","snomed_id","snomed","snomed_id"
"31","petition_category","snomed_id","snomed","snomed_id"
"32","placed_by","snomed_id","snomed","snomed_id"
"33","placement_status","snomed_id","snomed","snomed_id"
"34","program_elgibility_info","snomed_id","snomed","snomed_id"
"35","reason_for_no_show","snomed_id","snomed","snomed_id"
"36","reason_for_no_show","evv_missed_visit_reason_code_id","evv_missed_visit_reason_code","evv_missed_visit_reason_code_id"
"37","referral_reason","snomed_id","snomed","snomed_id"
"38","relationship","snomed_id","snomed","snomed_id"
"39","relationship","hl7_code","stcodes_all_codes","stcodes_all_codes_id"
"40","relationship","pce_client_relationship_to_subscriber","pce_dictionary_code","pce_dictionary_code_id"
"41","relationship","stcodes_all_codes_id","stcodes_all_codes","stcodes_all_codes_id"
"42","relationship","PC_Relationship_ID","PC_Relationship_codes","PC_Relationship_codes_id"
"43","service_authorization_items","snomed_id","snomed","snomed_id"
"44","service_authorization_status_lut","snomed_id","snomed","snomed_id"
"45","service_authorization_status_reasons","snomed_id","snomed","snomed_id"
"46","service_code","procedure_code_id","procedure_code","procedure_code_id"
"47","service_code","snomed_id","snomed","snomed_id"
"48","service_duration","snomed_id","snomed","snomed_id"
"49","source_of_admission","snomed_id","snomed","snomed_id"
"50","source_of_admission","pce_source_of_admission","pce_dictionary_code","pce_dictionary_code_id"
"51","transfer_reason","snomed_id","snomed","snomed_id"
"52","transfer_reason","No","Archive Changes:","No"
"53","transfer_reason","dd_datatypes_id","dd_datatypes","dd_datatypes_id"
"54","transfer_reason","dd_table_header_id","dd_table_header","dd_table_header_id"
"55","transfer_reason","referenced_","dd_columns","dd_columns_id"
"56","transfer_reason","scrnval_id","scrnval","scrnval_id"
"57","dd_rename_problems","dd_table_types_id","dd_table_types","dd_table_types_id"
"58","dd_rename_problems","dd_users_id","dd_users","dd_users_id"
"59","dd_rename_problems","dd_upgrade_rules_id","dd_upgrade_rules","dd_upgrade_rules_id"
"60","dd_rename_problems","dd_upgrade_rule_code_id","dd_upgrade_rule_code","dd_upgrade_rule_code_id"
"61","dd_users","key_identifier","foster_home_registry_error_log","foster_home_registry_error_log_id"
"62","dd_users","No","Archive Changes:","Yes"
"63","aba_collect_items","aba_data_collection_id","aba_data_collection","aba_data_collection_id"
"64","aba_collect_items","service_plan_session_items_id","service_plan_session_items","service_plan_session_items_id"
"65","aba_item_prompts","aba_collect_items_id","aba_collect_items","aba_collect_items_id"
"66","aba_item_prompts","prompt_level_id","prompt_level","prompt_level_id"
"67","additional_guarantors","benefits_assignments_id","benefits_assignments","benefits_assignments_id"
"68","additional_guarantors","guarantor_people_id","people","people_id"
"69","additional_guarantors","relationship_id","relationship","relationship_id"
"70","additional_guarantors","guarantor_payer_vendor_id","payor_vendor","payor_vendor_id"
"71","address","people_id","people","people_id"
"72","address","groups_id","groups","groups_id"
"73","address","group_profile_id","group_profile","group_profile_id"
"74","address","address_type_id","address_type","address_type_id"
"75","address","residence_type","residence_type","residence_type_id"
"76","address","landlord_id","group_profile","group_profile_id"
"77","address","state","state","State_id"
"78","address","community_district","community_district","community_district_id"
"79","address","county","county","county_id"
"80","address","mstate","state","State_id"
"81","address","county_geocode_link_id","county_geocode_link","county_geocode_link_id"
"82","address","zipcode_zones_id","zipcode_zones","zipcode_zones_id"
"83","address","country","country_of_origin","country_of_origin_id"
"84","address","mcountry","country_of_origin","country_of_origin_id"
"85","address","pce_csi_district_of_residence","pce_dictionary_code","pce_dictionary_code_id"
"86","address","place_of_service_id","place_of_service","place_of_service_id"
"87","address","time_zone_regions_id","time_zone_regions","time_zone_regions_id"
"88","advance_directives_information","people_id","people","people_id"
"89","agency","payroll_holiday_scheduling_id","holiday_scheduling","holiday_scheduling_id"
"90","agency","payroll_output_id","payroll_output","payroll_output_id"
"91","agency","override_service_auth_unit_type","periods","periods_id"
"92","agency","months_id","months","months_id"
"93","agency","dow_id","dow","dow_id"
"94","agency","mileage_event_definition_id","event_definition","event_definition_id"
"95","agency","payroll_stipend_extract_code","procedure_code","procedure_code_id"
"96","agency","payroll_overtime_extract_code","procedure_code","procedure_code_id"
"97","agency","mileage_contact_event_def_id","event_definition","event_definition_id"
"98","agency","payroll_min_over_proc","procedure_code","procedure_code_id"
"99","agency","payroll_stipend_apsl","agency_program_service_link","agency_program_service_link_id"
"100","agency","holiday_scheduling_id","holiday_scheduling","holiday_scheduling_id"
"101","agency","holiday_scheduling_monthly_dose_id","holiday_scheduling","holiday_scheduling_id"
"102","agency","first_dow_dispense","dow","dow_id"
"103","agency","payroll_periods_id","periods","periods_id"
"104","agency","agency_holiday_schedule_id","agency_holiday_header","agency_holiday_header_id"
"105","agency","payroll_time_chart_performance_report","time_chart_header","time_chart_header_id"
"106","agency","default_incident_worker_role_id","worker_role","worker_role_id"
"107","agency","default_self_pay_ba_plan_id","billing_payment_plan","billing_payment_plan_id"
"108","agency","default_call_center_worker_role_id","worker_role","worker_role_id"
